"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","first_composer","intertextual_entity","title","date_of_production","geographic_area_code","zzz_deleted_instrumentation","geographical_area_code","super_work","opus_no","index_no","medium_of_performance","unmodified_gnd_data","zzz_deleted_added_by_project","instruments","gnd_status","form","title_no","title_instrument","alt_titles","tonality","language","final","confirmed_by_slub","zzz_deleted_alt_instrument_ids","genre_ids","main_instrumentation","alt_instrumentation","genres","instrument_ids","alt_instrument_names"
"43","0","1643120078","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217623310","38","0","Variationen",NULL,,,,"0","9",,,"1","0","1",,"1",,"Klavier","Sept Variations sur le Menuet de ""Don Juan""","F-Dur",,"2","1",,"4187414-6","0","0","1",,
"44","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217626573","124","0","Walzer",NULL,,,,"0","4",,,"1","0","1","n","1",,"Klavier, 4-händig","Valses $ Walses",,,"2","1",,"4189042-5","0","0","1",,
"45","0","1603465109","1602495937","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217627057","31","0","Thalia",NULL,,,,"0","0","0",,"1","0","0",,"0",,,,,,"0","1",,,"0","0","0",,
"46","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217627545","89","0","Gesänge","1809-01-01",,,,"0","51",,,"1","0","2","n","1",,,"Gesänge",,,"2","1",,"4020470-4","0","0","1",,
"47","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217665811","72","0","Gesänge",NULL,,,,"0","1",,,"1","0","1",,"1",,,"Gesänge",,,"2","1",,"4020470-4","0","0","1",,
"48","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217666133","73","0","Pas redoublés français",NULL,,,,"0",,,,"1","0","1","n","1",,,"Pas redoublés françaises","F-Dur",,"2","1",,"4168976-8","0","0","1",,
"49","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217666729","74","0","Polonaisen",NULL,,,,"0",,,,"1","0","2",,"1",,"Orchester","Grande Polonaise à l'usage des Concerts","D-Dur",,"2","1",,"4209517-7","0","0","1",,
"50","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217667156","38","0","Lieder","1809-01-01",,,,"0","12",,,"1","0","2","n","1",,,"Gedichte von L. A. Freiherr v. Schele $ Lieder",,,"2","1",,"4035669-3","0","0","1",,
"51","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217667709","88","0","Sonaten",NULL,,,,"0","13",,,"1","0","1",,"2",,"Klavier, 4-händig",,"F-Dur",,"2","1",,"4188277-5$4131190-5","0","0","2",,
"52","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121766856X","77","0","Variations faciles sur le Menuet à la Vigano",NULL,,,,"0","9",,,"1","0","3","n","1",,,"Variationen",,,"2","1",,"4187414-6","0","0","1",,
"53","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217674020","137","0","Lieder",NULL,,,,"0","34",,,"1","0","2",,"1",,,"Lieder $ Lieder von Tiedge",,,"2","1",,"4035669-3","0","0","1",,
"54","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217674764","79","0","Trios",NULL,,,,"0","6",,,"1","0","3","n","1",,"Klavier",,"B-Dur",,"2","1",,"4186188-7","0","0","1",,
