"uid_local","uid_foreign","sorting","sorting_foreign"
"365","4616","5","0"
"365","4656","1","0"
"365","4658","2","0"
"365","4660","3","0"
"365","4662","4","0"
"365","4664","5","0"
"365","4666","6","0"
"366","1","1","0"
"367","1","1","0"
"368","1","1","0"
"368","1697","3","0"
"368","3584","2","0"
"368","6387","1","0"
"369","1","1","0"
"370","402","2","0"
"370","768","1","0"
"370","4717","1","0"
"371","1","2","0"
"371","17","1","0"
"372","1","1","0"
"372","451","4","0"
"372","457","5","0"
"372","4610","2","0"
"372","4616","3","0"
"372","5896","1","0"
"372","5898","2","0"
"373","1697","2","0"
"373","3584","1","0"
"373","4350","1","0"
"374","1","1","0"
"375","1","1","0"
"376","1","1","0"
"377","1","1","0"
"378","1","2","0"
"378","17","1","0"
"381","1","2","0"
"381","3158","3","0"
"381","3843","1","0"
"382","1","1","0"
"383","1","2","0"
"383","17","1","0"
"385","402","8","0"
"385","451","5","0"
"385","453","6","0"
"385","455","7","0"
"385","768","4","0"
"385","3485","1","0"
"385","3487","2","0"
"385","3489","3","0"
"385","3491","4","0"
"385","4610","1","0"
"385","4614","2","0"
"385","4675","3","0"
"386","1697","2","0"
"386","3027","1","0"
"386","3584","1","0"
"388","1","2","0"
"388","9","1","0"
"389","1","1","0"
"390","1","2","0"
"390","17","1","0"
"391","1","2","0"
"391","17","1","0"
"392","5","1","0"
"392","9","2","0"
"392","10","3","0"
"393","4","1","0"
"395","402","6","0"
"395","451","4","0"
"395","768","3","0"
"395","3158","5","0"
"395","3843","2","0"
"395","4610","1","0"
"395","4722","1","0"
"395","4724","2","0"
"395","4727","3","0"
"396","1","1","0"
"397","1","1","0"
"398","1","1","0"
"399","1","1","0"
"400","1","2","0"
"400","17","1","0"
"401","1","2","0"
"401","17","1","0"
"402","1","1","0"
"403","1","1","0"
"404","1","1","0"
"406","1","1","0"
"407","5","1","0"
"407","9","2","0"
"407","10","3","0"
"408","3165","2","0"
"408","3849","1","0"
"409","1","1","0"
"410","4","1","0"
"410","453","4","0"
"410","3163","1","0"
"410","3165","2","0"
"410","3849","3","0"
"410","4614","2","0"
"411","1","3","0"
"411","5","1","0"
"411","10","2","0"
"412","3165","2","0"
"412","3849","1","0"
"412","6081","1","0"
"413","1","1","0"
"414","1","2","0"
"414","17","1","0"
"415","1","1","0"
"420","402","12","0"
"420","451","7","0"
"420","453","9","0"
"420","457","10","0"
"420","473","8","0"
"420","768","6","0"
"420","1697","11","0"
"420","3584","5","0"
"420","4610","1","0"
"420","4612","2","0"
"420","4614","3","0"
"420","4616","4","0"
"420","5109","1","0"
"420","5111","2","0"
"420","5113","3","0"
"420","5115","4","0"
"420","5117","5","0"
"420","5119","6","0"
"421","1","2","0"
"421","17","1","0"
"422","1","1","0"
"423","3165","3","0"
"423","3849","2","0"
"423","4697","1","0"
"423","6075","1","0"
"423","6078","2","0"
"424","1","2","0"
"424","17","1","0"
"425","1","2","0"
"425","17","1","0"
"426","402","6","0"
"426","453","4","0"
"426","768","3","0"
"426","1697","5","0"
"426","3584","2","0"
"426","4614","1","0"
"426","4819","1","0"
"426","4821","2","0"
"426","4823","3","0"
"427","1","1","0"
"428","1","1","0"
"429","1","1","0"
"430","451","3","0"
"430","473","4","0"
"430","4399","1","0"
"430","4401","2","0"
"430","4610","1","0"
"430","4612","2","0"
"431","402","4","0"
"431","768","2","0"
"431","3165","3","0"
"431","3849","1","0"
"431","4825","1","0"
"431","4828","2","0"
"432","1","2","0"
"432","5","1","0"
"433","1","2","0"
"433","5","1","0"
"434","1","1","0"
"434","457","3","0"
"434","3427","1","0"
"434","4616","2","0"
"435","1","2","0"
"435","17","1","0"
"436","1","1","0"
"437","1","2","0"
"437","17","1","0"
"438","1","1","0"
"439","1","1","0"
"440","1","1","0"
"441","3158","2","0"
"441","3843","1","0"
"441","4413","1","0"
"442","3158","2","0"
"442","3843","3","0"
"442","4416","1","0"
"445","1","1","0"
"445","1697","3","0"
"445","3469","1","0"
"445","3584","2","0"
"446","1","2","0"
"446","5","1","0"
"448","1","2","0"
"448","17","1","0"
"449","1","1","0"
"450","1","1","0"
"451","1","1","0"
"452","1","1","0"
"453","1","1","0"
"454","1","2","0"
"454","17","1","0"
"455","17","1","0"
"455","402","3","0"
"455","768","2","0"
"455","4587","2","0"
"456","1","2","0"
"456","17","1","0"
"457","1","1","0"
"459","1","1","0"
"460","1","2","0"
"460","17","1","0"
"461","1","2","0"
"461","17","1","0"
"462","1","2","0"
"462","17","1","0"
"463","1","1","0"
"464","1","1","0"
"465","1697","2","0"
"465","3584","1","0"
"465","5365","1","0"
"466","1697","2","0"
"466","3584","1","0"
"466","4440","1","0"
"467","1","2","0"
"467","17","1","0"
"468","1","1","0"
"469","1","1","0"
"470","1","1","0"
"471","1","1","0"
"472","1","1","0"
"473","1","1","0"
"473","455","3","0"
"473","3941","1","0"
"473","4675","2","0"
"475","1","1","0"
"476","1","2","0"
"476","17","1","0"
"478","1697","2","0"
"478","2562","1","0"
"478","3467","1","0"
"479","1","1","0"
"480","1","1","0"
"482","1","1","0"
"483","1","2","0"
"483","17","1","0"
"485","1","2","0"
"485","17","1","0"
"490","1","2","0"
"490","17","1","0"
"492","3158","2","0"
"492","3735","1","0"
"492","3843","1","0"
"493","8","1","0"
"493","3165","3","0"
"493","3849","2","0"
"493","4522","1","0"
"495","1697","2","0"
"495","3584","1","0"
"495","4468","1","0"
"496","1","1","0"
"497","1","1","0"
"498","1","1","0"
"500","10","1","0"
"501","1","1","0"
"502","1","1","0"
"502","455","3","0"
"502","3480","1","0"
"502","4675","2","0"
"503","1","1","0"
"504","1","3","0"
"504","5","1","0"
"504","10","2","0"
"505","402","2","0"
"505","768","1","0"
"505","3957","1","0"
"506","1","2","0"
"506","17","1","0"
"507","1","1","0"
"508","1","2","0"
"508","17","1","0"
"511","402","12","0"
"511","451","7","0"
"511","453","9","0"
"511","457","10","0"
"511","473","8","0"
"511","768","18","0"
"511","1697","11","0"
"511","3584","17","0"
"511","4610","13","0"
"511","4612","14","0"
"511","4614","15","0"
"511","4616","16","0"
"511","4641","1","0"
"511","4643","2","0"
"511","4645","3","0"
"511","4647","4","0"
"511","4649","5","0"
"511","4651","6","0"
"512","402","12","0"
"512","451","7","0"
"512","453","9","0"
"512","457","10","0"
"512","473","8","0"
"512","768","6","0"
"512","1697","11","0"
"512","3584","5","0"
"512","4610","1","0"
"512","4612","2","0"
"512","4614","3","0"
"512","4616","4","0"
"512","4618","5","0"
"512","4620","6","0"
