"uid_local","uid_foreign","sorting","sorting_foreign"
"399","1109","1","0"
"400","2305","1","0"
"401","2305","2","0"
"401","2309","1","0"
"402","1320","1","0"
"402","1632","1","0"
"402","1637","2","0"
"402","6689","2","0"
"403","3617","2","0"
"403","6146","1","0"
"403","6375","1","0"
"403","6380","2","0"
"404","448","1","0"
"404","7428","1","0"
"406","1027","3","0"
"406","3614","1","0"
"406","3617","2","0"
"406","3624","3","0"
"407","79","2","0"
"407","96","1","0"
"407","98","2","0"
"407","4930","1","0"
"408","769","1","0"
"408","1265","1","0"
"409","6634","1","0"
"409","6658","1","0"
"410","251","1","0"
"410","769","1","0"
"411","7092","1","0"
"411","7184","1","0"
"412","2305","1","0"
"412","7110","1","0"
"413","6689","1","0"
"414","2305","1","0"
"414","2447","1","0"
"415","592","1","0"
"415","5128","1","0"
"420","2867","1","0"
"420","5099","1","0"
"421","2305","1","0"
"421","2329","1","0"
"422","3328","1","0"
"422","4617","1","0"
"423","2305","1","0"
"423","7106","1","0"
"424","619","1","0"
"424","2305","1","0"
"425","769","1","0"
"425","1290","1","0"
"426","521","1","0"
"426","4923","1","0"
"427","6689","1","0"
"427","6727","1","0"
"428","1642","1","0"
"428","6689","1","0"
"429","4445","1","0"
"429","4509","1","0"
"430","2305","1","0"
"430","2339","1","0"
"431","521","1","0"
"431","4924","1","0"
"432","6146","2","0"
"432","6427","1","0"
"432","6429","2","0"
"432","7184","1","0"
"433","6146","2","0"
"433","6434","1","0"
"433","6436","2","0"
"433","7184","1","0"
"434","550","1","0"
"434","6920","1","0"
"435","462","1","0"
"435","5128","1","0"
"436","1796","1","0"
"436","1826","1","0"
"437","1219","1","0"
"437","2305","1","0"
"438","5089","1","0"
"439","3359","1","0"
"439","7376","1","0"
"440","4417","1","0"
"440","4433","1","0"
"441","2305","1","0"
"441","2351","1","0"
"442","2305","2","0"
"442","2355","1","0"
"445","667","1","0"
"445","2305","1","0"
"446","6146","1","0"
"446","6506","1","0"
"448","2305","1","0"
"448","5472","1","0"
"449","1109","1","0"
"449","1972","1","0"
"450","1027","1","0"
"450","4526","1","0"
"451","1432","1","0"
"451","6689","1","0"
"452","2574","1","0"
"452","4360","1","0"
"453","1109","1","0"
"453","1932","1","0"
"454","769","1","0"
"454","5098","1","0"
"455","2728","1","0"
"455","6920","1","0"
"456","2305","1","0"
"456","2371","1","0"
"457","5476","1","0"
"457","6698","1","0"
"459","1108","1","0"
"459","6698","1","0"
"460","2305","1","0"
"460","2383","1","0"
"461","627","1","0"
"461","5129","1","0"
"462","2305","1","0"
"462","5965","1","0"
"463","1027","2","0"
"463","2580","1","0"
"463","2583","2","0"
"463","4360","1","0"
"464","2088","1","0"
"464","7428","1","0"
"465","2305","1","0"
"465","5505","1","0"
"466","2305","1","0"
"466","2391","1","0"
"467","4370","1","0"
"467","5128","1","0"
"468","5128","1","0"
"469","79","1","0"
"469","88","2","0"
"469","1027","2","0"
"470","1442","1","0"
"470","2076","1","0"
"471","1943","1","0"
"471","3359","1","0"
"472","2073","1","0"
"472","4360","1","0"
"473","1377","1","0"
"473","2305","1","0"
"475","383","1","0"
"475","1027","1","0"
"476","769","1","0"
"476","1293","1","0"
"478","663","1","0"
"478","2305","1","0"
"479","1078","1","0"
"479","6689","1","0"
"480","308","1","0"
"482","1027","2","0"
"482","1320","1","0"
"482","2153","1","0"
"482","2158","2","0"
"483","769","1","0"
"483","1295","1","0"
"485","769","2","0"
"485","2305","1","0"
"485","2503","1","0"
"485","2507","2","0"
"490","2305","2","0"
"490","5128","1","0"
"490","5260","1","0"
"490","5282","2","0"
"493","2305","1","0"
"493","2566","1","0"
"495","2305","1","0"
"495","2435","1","0"
"496","5381","1","0"
"497","2076","1","0"
"497","5101","1","0"
"498","330","1","0"
"498","1959","1","0"
"500","1320","1","0"
"500","6773","1","0"
"501","896","1","0"
"501","6698","1","0"
"502","679","1","0"
"502","2305","1","0"
"503","1474","1","0"
"503","1913","1","0"
"504","7104","1","0"
"504","7184","1","0"
"505","1437","1","0"
"505","1881","1","0"
"506","235","1","0"
"506","2305","1","0"
"507","5351","1","0"
"507","6689","1","0"
"508","190","1","0"
"508","2305","1","0"
"511","2816","2","0"
"511","2852","1","0"
"512","2774","1","0"
"512","2816","1","0"
"513","167","1","0"
"513","1027","1","0"
"514","6003","1","0"
"514","6146","1","0"
"515","769","1","0"
"515","1237","1","0"
"517","265","1","0"
"517","6778","1","0"
"518","5067","1","0"
"519","1320","1","0"
"519","6767","1","0"
"519","6772","2","0"
"519","7169","2","0"
"520","2180","1","0"
"520","2305","1","0"
"521","2184","1","0"
"521","2305","1","0"
"522","2188","1","0"
"522","2305","1","0"
"524","6698","1","0"
"524","7274","1","0"
"525","321","1","0"
"525","6698","1","0"
"526","107","1","0"
"526","6689","1","0"
"527","1751","1","0"
"527","1881","1","0"
"528","2200","1","0"
"528","2305","1","0"
"529","2305","1","0"
"529","4441","1","0"
"530","769","1","0"
"530","1225","1","0"
"531","265","1","0"
"531","912","1","0"
"532","265","1","0"
"533","203","1","0"
"533","4907","1","0"
"534","2204","1","0"
"534","2305","1","0"
"535","2305","1","0"
"535","6694","1","0"
"536","3359","1","0"
"536","7137","1","0"
"537","435","1","0"
"537","443","2","0"
"537","3359","1","0"
"537","5376","2","0"
"538","2577","1","0"
"538","4360","1","0"
"539","2571","1","0"
"539","4360","1","0"
"540","2216","1","0"
"540","2305","1","0"
"541","2220","1","0"
"541","2305","1","0"
"542","769","1","0"
"542","3607","1","0"
"543","3359","1","0"
"543","7304","1","0"
"544","5400","1","0"
"546","2305","1","0"
"546","2508","1","0"
"546","2512","2","0"
"546","5128","2","0"
"547","7169","1","0"
"547","7174","1","0"
"548","347","1","0"
"548","348","2","0"
"548","353","3","0"
"548","1027","3","0"
"548","4365","2","0"
"548","6698","1","0"
"549","1027","3","0"
"549","3117","2","0"
"549","5523","1","0"
"549","5524","2","0"
"549","5531","3","0"
"549","6698","1","0"
"550","692","2","0"
"550","1489","1","0"
"550","1491","2","0"
"550","2337","1","0"
"551","1401","1","0"
"551","2305","1","0"
"552","657","1","0"
"552","661","2","0"
"552","2305","1","0"
"552","2337","2","0"
"553","6920","1","0"
"553","7463","1","0"
"554","6146","2","0"
"554","6689","1","0"
"554","6747","1","0"
"554","6752","2","0"
"555","123","1","0"
"555","1027","1","0"
"556","2305","1","0"
"556","2874","1","0"
"557","769","1","0"
"557","1242","1","0"
"558","7224","1","0"
"558","7227","1","0"
"559","1027","1","0"
"559","1620","1","0"
"560","2170","1","0"
"560","2174","2","0"
"560","2305","1","0"
"560","2337","2","0"
"561","1360","1","0"
"561","2305","1","0"
"562","769","1","0"
"562","1245","1","0"
"563","769","1","0"
"563","1246","1","0"
"564","1540","1","0"
"566","1540","1","0"
"566","1600","1","0"
"567","6896","1","0"
"568","1124","1","0"
"569","112","1","0"
"569","117","1","0"
"569","3328","2","0"
"573","513","1","0"
"573","1160","1","0"
"574","388","1","0"
"575","1540","1","0"
"575","5402","1","0"
"576","2248","1","0"
"576","2305","1","0"
"578","7224","1","0"
"579","769","2","0"
"579","897","1","0"
"579","902","2","0"
"579","1320","1","0"
"580","1008","1","0"
"580","5407","1","0"
"581","780","1","0"
"581","786","1","0"
"582","780","1","0"
"582","788","1","0"
"583","3359","1","0"
"583","7328","1","0"
"584","1126","1","0"
"584","2305","1","0"
"585","388","1","0"
"585","401","1","0"
"586","55","1","0"
"587","1540","1","0"
"587","5386","1","0"
"590","6999","1","0"
"591","219","1","0"
"591","1540","1","0"
"592","2265","1","0"
"592","2305","1","0"
"593","2305","1","0"
"593","7012","1","0"
"594","6689","1","0"
"594","6717","1","0"
"595","6146","1","0"
"595","6233","1","0"
"596","6146","1","0"
"596","6238","1","0"
"597","7224","1","0"
"597","7230","1","0"
"598","7224","1","0"
"598","7233","1","0"
"599","278","1","0"
"599","5343","1","0"
"600","6146","1","0"
"600","6248","1","0"
"602","250","1","0"
"602","769","1","0"
"604","769","1","0"
"604","7498","1","0"
"605","264","1","0"
"605","7428","1","0"
"606","2305","1","0"
"606","5124","1","0"
"607","2305","1","0"
"607","7119","1","0"
"610","2653","1","0"
"610","4360","1","0"
"611","521","1","0"
"613","239","1","0"
"613","6680","1","0"
"614","6877","1","0"
"622","825","1","0"
"622","2867","1","0"
"623","769","1","0"
"623","1262","1","0"
"623","2305","2","0"
"624","3072","1","0"
"624","5704","1","0"
"625","3072","1","0"
"625","5710","1","0"
"626","3072","1","0"
"626","5722","1","0"
"627","3072","1","0"
"627","5734","1","0"
"628","3072","1","0"
"628","5746","1","0"
"629","3072","1","0"
"629","5758","1","0"
"630","3072","1","0"
"630","5770","1","0"
"631","3072","1","0"
"631","5782","1","0"
"632","3072","1","0"
"632","5788","1","0"
"633","303","1","0"
"633","1540","1","0"
"634","2285","1","0"
"634","2305","1","0"
"635","769","1","0"
"635","1223","1","0"
"636","769","1","0"
"636","5350","1","0"
"637","58","1","0"
"637","66","1","0"
"638","2816","1","0"
"639","1493","1","0"
"639","2305","1","0"
"640","330","1","0"
"640","337","1","0"
"641","2722","1","0"
"641","6689","1","0"
"642","5408","1","0"
"642","5411","1","0"
"643","859","1","0"
"644","340","1","0"
"645","149","1","0"
"645","4891","1","0"
"646","5128","1","0"
"646","5194","1","0"
"647","3617","2","0"
"647","6146","1","0"
"647","6300","1","0"
"647","6305","2","0"
"648","3072","1","0"
"648","5818","1","0"
"649","513","2","0"
"649","996","1","0"
"649","997","2","0"
"649","5407","1","0"
"650","265","1","0"
"650","6783","1","0"
"653","5384","1","0"
"654","1540","1","0"
"654","6910","1","0"
"655","3617","2","0"
"655","6146","1","0"
"655","6341","1","0"
"655","6346","2","0"
"656","265","1","0"
"656","6808","1","0"
"657","1913","1","0"
"658","2305","1","0"
"658","2313","1","0"
"659","2656","1","0"
"659","4360","1","0"
"660","7169","1","0"
"660","7180","1","0"
"661","2305","1","0"
"661","2317","1","0"
"662","2305","1","0"
"662","2321","1","0"
"663","6146","1","0"
"663","6387","1","0"
"664","373","1","0"
"664","1027","1","0"
"665","769","2","0"
"665","2305","1","0"
"665","2483","1","0"
"665","2487","2","0"
"667","769","2","0"
"667","2305","1","0"
"667","2488","1","0"
"667","2492","2","0"
"670","2659","1","0"
"670","4360","1","0"
"671","7224","1","0"
"671","7236","1","0"
"672","7224","1","0"
"672","7239","1","0"
"673","769","1","0"
"673","1289","1","0"
"675","2908","1","0"
"675","5634","1","0"
"676","6640","1","0"
"676","6658","1","0"
"677","7224","1","0"
"677","7242","1","0"
"678","7224","1","0"
"678","7245","1","0"
"679","1320","1","0"
"679","5119","1","0"
"681","2093","1","0"
"681","6689","1","0"
